year,management_unit,stock,total_mort_lb
2004,SSEI,BRF,674.63
2004,SSEO,BRF,2405.66
2004,NSEI,YEI,72058.2825
2004,SSEI,YEI,48011.615
2005,CSEO,BRF,7118.04
2005,EWYKT,BRF,13225.72
2005,NSEI,BRF,1435.33
2005,NSEO,BRF,703.49
2005,SSEI,BRF,3788.58
2005,SSEO,BRF,2573.78
2005,NSEI,YEI,55321.8705
2005,SSEI,YEI,41413.481999999996
2006,CSEO,BRF,8326.9492
2006,EWYKT,BRF,8660.9833
2006,NSEI,BRF,2517.2112
2006,NSEO,BRF,4680.9035
2006,SSEI,BRF,519.9334
2006,SSEO,BRF,44.6132
2006,NSEI,YEI,65535.355765
2006,SSEI,YEI,56149.00442999999
2007,CSEO,BRF,8205.6877
2007,EWYKT,BRF,8248.047
2007,NSEI,BRF,1588.81
2007,NSEO,BRF,608.3778
2007,SSEI,BRF,616.062
2007,SSEO,BRF,57.1429
2007,NSEI,YEI,56706.66762
2007,SSEI,YEI,49126.51931
2008,CSEO,BRF,7181.3018
2008,EWYKT,BRF,9768.14
2008,NSEI,BRF,2147.46
2008,NSEO,BRF,1196.156
2008,SSEI,BRF,700.822
2008,SSEO,BRF,407.0596
2008,NSEI,YEI,48728.167295
2008,SSEI,YEI,35465.149190000004
2009,CSEO,BRF,5312.5990999999995
2009,EWYKT,BRF,1226.6402
2009,NSEI,BRF,1246.0718
2009,NSEO,BRF,1821.593
2009,SSEI,BRF,1165.3338
2009,SSEO,BRF,146.5902
2009,NSEI,YEI,33674.992835
2009,SSEI,YEI,31750.38334
2010,CSEO,BRF,5224.0099
2010,EWYKT,BRF,855.6123
2010,NSEI,BRF,1234.7012
2010,NSEO,BRF,1448.5233
2010,SSEI,BRF,1041.7816
2010,SSEO,BRF,590.676
2010,NSEI,YEI,33731.457745
2010,SSEI,YEI,62316.483055000004
2011,CSEO,BRF,4632.4969
2011,EWYKT,BRF,363.65
2011,NSEI,BRF,1147.1121
2011,NSEO,BRF,970.2459
2011,SSEI,BRF,562.6391
2011,SSEO,BRF,224.7347
2011,NSEI,YEI,21070.1643
2011,SSEI,YEI,49621.23438
2012,CSEO,BRF,12776.4535
2012,EWYKT,BRF,1442.2
2012,NSEI,BRF,2172.48
2012,NSEO,BRF,13972.8258
2012,SSEI,BRF,778.04
2012,SSEO,BRF,527.7712
2012,NSEI,YEI,15919.9375
2012,SSEI,YEI,22619.295235
2013,CSEO,BRF,8784.029999999999
2013,EWYKT,BRF,763.1
2013,NSEI,BRF,1647.1564
2013,NSEO,BRF,2549.3479
2013,SSEI,BRF,3141.5531
2013,SSEO,BRF,1029.0649
2013,NSEI,YEI,21850.3206
2013,SSEI,YEI,37155.56427
2014,CSEO,BRF,6098.9231
2014,EWYKT,BRF,352.3308
2014,NSEI,BRF,2112.5237
2014,NSEO,BRF,2375.3343
2014,SSEI,BRF,553.8132
2014,SSEO,BRF,65.9957
2014,NSEI,YEI,29144.841405
2014,SSEI,YEI,53582.453205
2015,CSEO,BRF,10608.3009
2015,EWYKT,BRF,767.11
2015,NSEI,BRF,1861.1254999999999
2015,NSEO,BRF,1757.4712
2015,SSEI,BRF,3234.1893
2015,SSEO,BRF,3959.5263999999997
2015,NSEI,YEI,30071.20696
2015,SSEI,YEI,39312.080565000004
2016,CSEO,BRF,17625.319
2016,EWYKT,BRF,405.8888
2016,NSEI,BRF,1676.9979
2016,NSEO,BRF,4692.7736
2016,SSEI,BRF,425.1939
2016,SSEO,BRF,833.1893
2016,NSEI,YEI,22312.3507
2016,SSEI,YEI,41187.327945
2017,CSEO,BRF,15931.8884
2017,EWYKT,BRF,468.851
2017,NSEI,BRF,902.5841
2017,NSEO,BRF,5167.7639
2017,SSEI,BRF,444.1837
2017,SSEO,BRF,739.2246
2017,NSEI,YEI,19732.141255
2017,SSEI,YEI,34019.44725
2018,CSEO,BRF,8786.7017
2018,EWYKT,BRF,2562.1683000000003
2018,NSEI,BRF,1710.3705
2018,NSEO,BRF,4719.2706
2018,SSEI,BRF,1469.1959000000002
2018,SSEO,BRF,1737.2368000000001
2018,NSEI,YEI,36546.09474
2018,SSEI,YEI,61161.369049999994
2019,CSEO,BRF,7505.8315999999995
2019,EWYKT,BRF,950.8563999999999
2019,NSEI,BRF,1004.7502
2019,NSEO,BRF,5774.1428
2019,SSEI,BRF,551.1882
2019,SSEO,BRF,1547.2515
2019,NSEI,YEI,25674.38671
2019,SSEI,YEI,64337.311035
2020,CSEO,BRF,94
2020,NSEI,BRF,4
2020,NSEI,YEI,1309.31346
